Agência Nacional de Águas - ANA
Superintendência de Gestão da Rede Hidrometeorológica-SGH
Sistema de Informações Hidrológicas - Versão WEB
Fone: (61) 2109-5242
E-mail: hidro@ana.gov.br

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: Indica se a medição é média diaria ou instantânea.  0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:28150000


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
28150000;1;01/07/2024;;1;1;"5,3346";"2,7028";"3,8747";1;31;1;1;1;;0;"5,3346";"5,2421";"5,1499";"4,9665";"4,8752";"4,6936";"4,6032";"4,4234";"4,4234";"4,2449";"4,2449";"4,1562";"4,0677";"4,0677";"4,0677";"3,9797";"3,8045";"3,6308";"3,4585";"3,373";"3,373";"3,203";"3,203";"3,1186";"3,0346";"3,0346";"2,8678";"2,951";"2,951";"2,8678";"2,7028";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
28150000;1;01/03/2024;;1;1;"100,5938";"28,2494";"56,219";25;14;1;1;1;;0;"38,8816";"38,4872";"66,4454";"67,895";"64,7133";"56,0378";"43,6687";"35,8762";"34,0682";"33,2985";"38,6186";"34,3255";"29,9998";"28,2494";"34,9702";"45,0155";"52,8256";"54,2181";"51,1632";"67,3145";"74,4851";"74,9282";"76,2604";"83,2834";"100,5938";"87,2146";"76,2604";"71,6894";"64,2816";"60,1347";"57,5857";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
28150000;1;01/02/2024;;1;1;"61,8447";"22,1588";"37,8706";24;20;2;2;2;;0;"26,641";"31,5147";"30,3773";"27,1341";"26,0269";"32,277";"28,6229";"27,0107";"25,0497";"35,0994";"44,8805";"52,8256";"57,4447";"49,5103";"37,4389";"33,4266";"30,7556";"27,0107";"23,7169";"22,1588";"34,1968";"43,5344";"56,1782";"61,8447";"60,5614";"51,9932";"41,9287";"40,8643";"38,2247";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;0;0
28150000;1;01/12/2023;;1;1;"24,4423";"5,8951";"11,2048";22;10;1;1;1;"0,0";0;"6,8505";"6,2742";"6,0841";"6,2742";"7,0445";"7,83";"7,2395";"6,4653";"5,9895";"5,8951";"9,1365";"15,1199";"14,565";"12,8149";"13,3575";"14,1238";"11,9551";"10,2686";"12,599";"16,3532";"20,6199";"24,4423";"19,4497";"16,0151";"13,7945";"10,8957";"9,6482";"9,3405";"9,2384";"8,7307";"8,9332";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
28150000;1;01/11/2023;;1;1;"17,2607";"4,7842";"8,9027";8;4;1;1;1;"0,0";0;"5,8951";"5,4273";"4,9665";"4,7842";"5,3346";"9,5454";"14,2339";"17,2607";"15,9027";"14,8975";"15,1199";"12,7069";"10,2686";"7,5338";"6,2742";"6,2742";"6,3696";"6,6574";"6,5612";"6,5612";"7,2395";"7,6323";"9,8542";"10,4769";"9,3405";"8,0287";"8,0287";"8,9332";"7,1419";"7,83";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
28150000;1;01/10/2023;;1;1;"7,2358";"3,1714";"4,6409";8;5;1;1;1;"0,0";0;"4,8905";"4,5808";"3,9319";"3,5969";"3,1714";"4,9535";"6,4318";"7,2358";"6,865";"6,22";"5,806";"5,1448";"4,4595";"3,5969";"3,989";"5,3394";"5,6709";"6,1501";"6,7192";"5,3394";"4,1044";"3,5424";"3,3281";"3,2755";"3,7071";"4,2803";"4,2213";"3,4883";"3,1714";"3,2232";"3,4345";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
28150000;1;01/09/2023;;1;1;"7,1609";"2,3937";"4,0915";3;24;2;2;2;"0,0";0;"5,806";"6,9385";"7,1609";"5,9426";"5,5372";"4,7655";"4,1044";"4,7036";"5,806";"5,2741";"4,7655";"4,0465";"3,5424";"3,3281";"3,1199";"3,0688";"2,9677";"2,9178";"2,819";"2,6737";"2,5788";"2,4855";"2,4394";"2,3937";"2,3937";"2,4394";"2,819";"5,8741";"5,0169";"5,0169";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;0
28150000;1;01/08/2023;;1;1;"5,4709";"2,3937";"3,2594";31;20;1;1;1;"0,0";0;"3,3811";"3,2755";"3,2232";"3,1714";"3,1199";"3,2755";"3,2232";"3,1714";"3,2755";"3,1714";"3,0688";"2,9677";"2,9178";"2,8682";"2,7702";"2,6737";"2,5788";"2,532";"2,4855";"2,3937";"2,3937";"2,3937";"2,4855";"2,6261";"3,1199";"3,9319";"4,5199";"4,5808";"4,7655";"5,2093";"5,4709";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
28150000;1;01/07/2023;;1;1;"6,7919";"3,4345";"5,0113";1;31;1;1;1;"0,0";0;"6,7919";"6,6468";"6,4318";"6,2902";"6,1501";"6,0114";"5,806";"5,6709";"5,5372";"5,6709";"5,806";"5,7382";"5,6709";"5,5372";"5,2741";"5,2093";"5,0807";"4,7655";"4,5808";"4,4595";"4,2803";"4,2213";"4,1044";"3,989";"3,8751";"3,8187";"3,7071";"3,6518";"3,5969";"3,5424";"3,4345";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
28150000;1;01/06/2023;;1;1;"16,8952";"6,9385";"11,3974";1;30;1;1;1;"0,0";0;"16,8952";"16,2026";"15,3456";"15,1754";"14,9563";"14,7486";"14,3371";"13,9309";"13,6297";"12,9386";"12,6474";"12,2637";"11,5125";"10,9633";"10,8729";"10,6932";"10,4262";"10,5148";"10,5148";"10,3378";"9,815";"9,4732";"8,8063";"8,7244";"8,4006";"8,0823";"7,9252";"7,6153";"7,2358";"6,9385";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
28150000;1;01/05/2023;;1;1;;;;;;0;0;0;"0,0";0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28150000;1;01/04/2023;;1;1;;;;;;0;0;0;"0,0";0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28150000;1;01/03/2023;;1;1;;;;;;0;0;0;"0,0";0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28150000;1;01/02/2023;;1;1;;;;;;0;0;0;"0,0";0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
